DIEAREA ( 0 0 ) ( 1e+06 1e+06 )
name                                                                                     X              Y     LABEL
text_in_r_reg[23]                                                                       15              8        41
text_in_r_reg[24]                                                                       26              9        15
text_in_r_reg[25]                                                                       26             10        30
text_in_r_reg[26]                                                                       28             12        70
text_in_r_reg[27]                                                                       26              9        15
text_in_r_reg[28]                                                                       26             10        30
text_in_r_reg[29]                                                                       19              9        33
text_in_r_reg[30]                                                                       22              9         4
text_in_r_reg[31]                                                                       22              9         4
text_in_r_reg[32]                                                                       16             13        72
text_in_r_reg[33]                                                                       15             17       125
text_in_r_reg[34]                                                                       13             13        99
text_in_r_reg[35]                                                                       15             17       125
text_in_r_reg[36]                                                                       11             14       132
text_in_r_reg[37]                                                                       16             20       112
text_in_r_reg[38]                                                                       13             16       100
text_in_r_reg[39]                                                                       11             14       132
text_in_r_reg[40]                                                                       16             19        94
text_in_r_reg[41]                                                                       15             24        98
text_in_r_reg[42]                                                                       13             25       101
text_in_r_reg[43]                                                                       13             25       101
text_in_r_reg[44]                                                                       14             22        95
text_in_r_reg[45]                                                                       20             27        51
text_in_r_reg[46]                                                                       18             26        88
text_in_r_reg[47]                                                                       14             22        95
text_in_r_reg[48]                                                                        8             13        31
text_in_r_reg[49]                                                                        8             13        31
text_in_r_reg[50]                                                                        8             13        31
text_in_r_reg[51]                                                                        7             16       102
text_in_r_reg[52]                                                                        8             22        26
text_in_r_reg[53]                                                                        7             16       102
text_in_r_reg[54]                                                                        9             23        54
text_in_r_reg[55]                                                                        8             18        63
text_in_r_reg[56]                                                                        9             12        60
text_in_r_reg[57]                                                                       10             10        71
text_in_r_reg[58]                                                                        9             12        27
text_in_r_reg[59]                                                                        9             12        60
text_in_r_reg[60]                                                                        9             20        76
text_in_r_reg[61]                                                                        7             21        55
text_in_r_reg[62]                                                                        8             22        26
text_in_r_reg[63]                                                                        7             16       102
text_in_r_reg[64]                                                                       13             35         8
text_in_r_reg[65]                                                                       15             35        25
text_in_r_reg[66]                                                                       20             33        19
text_in_r_reg[67]                                                                       18             32         5
text_in_r_reg[68]                                                                        9             34       111
text_in_r_reg[69]                                                                        8             35       116
text_in_r_reg[70]                                                                        8             34       106
text_in_r_reg[71]                                                                        8             34       106
text_in_r_reg[72]                                                                       18             34        20
text_in_r_reg[73]                                                                       20             33        19
text_in_r_reg[74]                                                                       20             33        19
text_in_r_reg[75]                                                                       18             32         5
text_in_r_reg[76]                                                                       14             28         1
text_in_r_reg[77]                                                                       18             32         5
text_in_r_reg[78]                                                                       13             35         8
text_in_r_reg[79]                                                                       11             30        62
text_in_r_reg[80]                                                                       16             29        17
text_in_r_reg[81]                                                                       18             32        16
text_in_r_reg[82]                                                                       18             30        39
text_in_r_reg[83]                                                                       16             29        17
text_in_r_reg[84]                                                                       11             26        56
text_in_r_reg[85]                                                                       12             27        83
text_in_r_reg[86]                                                                        8             30        75
text_in_r_reg[87]                                                                       11             26        56
text_in_r_reg[88]                                                                        8             29        35
text_in_r_reg[89]                                                                       12             28        64
text_in_r_reg[90]                                                                        8             33       106
text_in_r_reg[91]                                                                       11             26        56
text_in_r_reg[92]                                                                        8             29        35
text_in_r_reg[93]                                                                        8             30        75
text_in_r_reg[94]                                                                        8             29        35
text_in_r_reg[95]                                                                        8             34       106
text_in_r_reg[96]                                                                       30             28        66
text_in_r_reg[97]                                                                       31             33        24
text_in_r_reg[98]                                                                       29             33        23
text_in_r_reg[99]                                                                       32             34        85
text_in_r_reg[100]                                                                      30             32        36
text_in_r_reg[101]                                                                      31             26       121
text_in_r_reg[102]                                                                      32             34        85
text_in_r_reg[103]                                                                      30             32        36
text_in_r_reg[104]                                                                      38             24       127
text_in_r_reg[105]                                                                      36             32        37
text_in_r_reg[106]                                                                      36             33        45
text_in_r_reg[107]                                                                      36             26       128
text_in_r_reg[108]                                                                      36             23        93
text_in_r_reg[109]                                                                      38             24       127
text_in_r_reg[110]                                                                      36             23        93
text_in_r_reg[111]                                                                      38             24       127
text_in_r_reg[112]                                                                      32             23       104
text_in_r_reg[113]                                                                      31             26       121
text_in_r_reg[114]                                                                      32             24       114
text_in_r_reg[115]                                                                      31             25       115
text_in_r_reg[116]                                                                      34             23       109
text_in_r_reg[117]                                                                      34             23       105
text_in_r_reg[118]                                                                      34             23       105
text_in_r_reg[119]                                                                      34             23       109
text_in_r_reg[120]                                                                      31             31        52
text_in_r_reg[121]                                                                      29             33        23
text_in_r_reg[122]                                                                      34             34        57
text_in_r_reg[123]                                                                      31             33        40
text_in_r_reg[124]                                                                      34             33        47
text_in_r_reg[125]                                                                      34             34        57
text_in_r_reg[126]                                                                      29             33        23
text_in_r_reg[127]                                                                      36             33        45
done_reg                                                                                 9             10        78
sa10_reg[0]                                                                             32             24       114
sa12_reg[0]                                                                              9             15        68
sa13_reg[0]                                                                             16              9        34
text_out_reg[0]                                                                         23             12         7
text_out_reg[1]                                                                         23             12         7
text_out_reg[2]                                                                         26             12        32
text_out_reg[3]                                                                         22             11         6
text_out_reg[4]                                                                         19             11        28
text_out_reg[5]                                                                         17             11        44
text_out_reg[6]                                                                         17             11        44
text_out_reg[7]                                                                         22             11         6
text_out_reg[8]                                                                         23             12         7
text_out_reg[9]                                                                         18             15        84
text_out_reg[10]                                                                        21             15        74
text_out_reg[11]                                                                        21             15        74
text_out_reg[12]                                                                        18             15        84
text_out_reg[13]                                                                        18             15        84
text_out_reg[14]                                                                        18             13        89
text_out_reg[15]                                                                        18             15        61
text_out_reg[16]                                                                        26             10        30
text_out_reg[17]                                                                        22              9         4
text_out_reg[18]                                                                        22              9         4
text_out_reg[19]                                                                        22              9         4
